deal No,dummy,dummy,dateTime,The number of Product A bought ,The number of Product B bought 
897,-,-,5/24/2021,6,1
898,-,-,5/30/2021,72,67
899,-,-,5/31/2021,0,0
900,-,-,44291,9,0
901,-,-,44321,10,1
902,-,-,44352,6,1
903,-,-,44382,2,1
904,-,-,44413,11,1
905,-,-,44444,1,0
906,-,-,44474,0,0
907,-,-,44505,25,23
908,-,-,44535,9,3
909,-,-,5/18/2021,2,1
910,-,-,5/19/2021,11,2
911,-,-,5/20/2021,0,0
912,-,-,5/26/2021,64,9
913,-,-,5/27/2021,33,3
914,-,-,5/21/2021,37,9
915,-,-,5/22/2021,26,5
916,-,-,5/29/2021,33,8
917,-,-,5/30/2021,1,1
918,-,-,44352,22,2
919,-,-,5/13/2021,2,1
920,-,-,5/14/2021,4,0
921,-,-,44352,49,43
922,-,-,44382,45,7
923,-,-,44535,30,2
924,-,-,5/18/2021,6,2
925,-,-,5/26/2021,26,2
926,-,-,44321,38,16
927,-,-,44352,6,1
928,-,-,44505,53,29
929,-,-,44535,115,10
930,-,-,5/19/2021,16,7
931,-,-,5/20/2021,46,13
932,-,-,5/26/2021,11,1
933,-,-,5/27/2021,50,8
934,-,-,44291,58,4
935,-,-,44321,3,0
936,-,-,44505,59,9
937,-,-,44535,77,15
938,-,-,44291,37,4
939,-,-,44321,1,0
940,-,-,5/26/2021,20,2
941,-,-,5/27/2021,1,0
942,-,-,44382,31,7
943,-,-,44413,60,16
944,-,-,5/14/2021,23,3
945,-,-,5/15/2021,13,0
946,-,-,5/21/2021,2,1
947,-,-,5/22/2021,44,19
948,-,-,5/29/2021,8,1
949,-,-,5/30/2021,11,1
950,-,-,5/30/2021,38,8
951,-,-,5/31/2021,35,23
952,-,-,44232,61,5
953,-,-,44260,9,2
954,-,-,5/16/2021,17,15
955,-,-,5/25/2021,3,2
956,-,-,5/26/2021,5,2
957,-,-,5/30/2021,28,24
958,-,-,5/31/2021,3,1
959,-,-,44232,8,3
960,-,-,44260,9,3
961,-,-,44444,23,16
962,-,-,44474,23,2
963,-,-,5/16/2021,10,8
964,-,-,5/17/2021,0,0
965,-,-,5/25/2021,6,1
966,-,-,5/26/2021,129,8
967,-,-,5/31/2021,24,2
968,-,-,44352,13,2
969,-,-,44382,1,0
970,-,-,44505,35,2
971,-,-,5/18/2021,30,3
972,-,-,5/19/2021,4,0
973,-,-,5/26/2021,9,3
974,-,-,5/27/2021,15,1
975,-,-,44321,43,5
976,-,-,44352,71,8
977,-,-,44505,10,1
978,-,-,44535,59,6
979,-,-,5/20/2021,20,13
980,-,-,5/21/2021,4,2
981,-,-,5/22/2021,0,0
982,-,-,5/26/2021,13,6
983,-,-,5/27/2021,59,23
984,-,-,44321,17,2
985,-,-,5/29/2021,7,1
986,-,-,5/30/2021,22,10
987,-,-,5/31/2021,17,3
988,-,-,44260,28,5
989,-,-,44291,0,0
990,-,-,44474,40,4
991,-,-,44505,0,0
992,-,-,5/17/2021,17,4
993,-,-,5/18/2021,4,0
994,-,-,44201,13,1
995,-,-,44535,70,31
996,-,-,5/13/2021,96,127
997,-,-,5/14/2021,4,2
998,-,-,5/23/2021,31,2
999,-,-,5/29/2021,24,3
1000,-,-,5/30/2021,29,5
1001,-,-,44201,36,4
1002,-,-,44232,47,10
1003,-,-,44444,0,0
1004,-,-,44474,32,7
1005,-,-,44505,12,5
1006,-,-,5/16/2021,22,8
1007,-,-,5/17/2021,1,0
1008,-,-,5/30/2021,24,10
1009,-,-,44260,5,0
1010,-,-,44291,92,20
1011,-,-,44474,43,3
1012,-,-,44505,52,3
1013,-,-,44535,80,8
1014,-,-,5/17/2021,18,3
1015,-,-,5/25/2021,28,6
1016,-,-,5/26/2021,42,13
1017,-,-,5/31/2021,140,12
1018,-,-,44201,0,0
1019,-,-,44321,15,17
1020,-,-,5/15/2021,18,0
1021,-,-,5/16/2021,14,0
1022,-,-,5/20/2021,54,2
1023,-,-,5/21/2021,0,0
1024,-,-,5/27/2021,55,5
1025,-,-,5/28/2021,11,2
1026,-,-,44201,8,2
1027,-,-,44382,61,6
1028,-,-,44413,33,3
1029,-,-,5/14/2021,6,1
1030,-,-,5/15/2021,22,16
1031,-,-,5/16/2021,62,35
1032,-,-,5/21/2021,14,2
1033,-,-,5/22/2021,35,5
1034,-,-,5/29/2021,30,1
1035,-,-,44201,101,6
1036,-,-,44232,14,1
1037,-,-,44352,112,16
1038,-,-,44382,22,2
1039,-,-,5/13/2021,45,4
1040,-,-,5/22/2021,28,5
1041,-,-,5/23/2021,12,1
1042,-,-,44232,4,1
1043,-,-,44260,30,1
1044,-,-,44444,30,7
1045,-,-,44474,3,1
1046,-,-,44505,0,0
1047,-,-,44535,0,0
1048,-,-,5/16/2021,54,2
1049,-,-,5/17/2021,0,0
1050,-,-,5/26/2021,55,5
1051,-,-,5/30/2021,11,2
1052,-,-,5/31/2021,8,2
1053,-,-,44291,61,6
1054,-,-,44321,33,3
1055,-,-,5/18/2021,6,1
1056,-,-,5/19/2021,22,16
1057,-,-,5/20/2021,62,35
1058,-,-,5/21/2021,14,2
1059,-,-,5/28/2021,35,5
1060,-,-,5/29/2021,30,1
1061,-,-,44232,101,6
1062,-,-,44260,14,1
1063,-,-,44444,112,16
1064,-,-,5/16/2021,22,2
1065,-,-,5/17/2021,45,4
1066,-,-,5/23/2021,28,5
1067,-,-,5/24/2021,12,1
1068,-,-,5/30/2021,4,1
1069,-,-,5/31/2021,30,1
1070,-,-,44232,30,7
1071,-,-,44260,3,1
1072,-,-,44444,0,0
1073,-,-,44474,0,0
1074,-,-,44505,54,2
1075,-,-,5/15/2021,0,0
1076,-,-,5/16/2021,55,5
1077,-,-,5/17/2021,11,2
1078,-,-,5/24/2021,8,2
1079,-,-,5/25/2021,61,6
1080,-,-,5/30/2021,33,3
1081,-,-,44232,6,1
1082,-,-,44260,22,16
1083,-,-,44444,62,35
1084,-,-,44474,14,2
1085,-,-,44505,35,5
1086,-,-,44535,30,1
1087,-,-,5/17/2021,101,6
1088,-,-,5/18/2021,14,1
1089,-,-,5/24/2021,112,16
1090,-,-,5/25/2021,22,2
1091,-,-,5/30/2021,45,4
1092,-,-,5/31/2021,28,5
1093,-,-,44535,12,1
1094,-,-,5/19/2021,4,1
1095,-,-,5/20/2021,30,1
1096,-,-,5/27/2021,30,7
1097,-,-,5/28/2021,3,1
1098,-,-,44201,0,0
1099,-,-,44474,0,0
1100,-,-,5/14/2021,54,2
1101,-,-,5/15/2021,0,0
1102,-,-,5/22/2021,55,5
1103,-,-,5/23/2021,11,2
1104,-,-,5/29/2021,8,2
1105,-,-,5/30/2021,61,6
1106,-,-,44321,33,3
1107,-,-,44352,6,1
1108,-,-,44382,22,16
1109,-,-,44535,62,35
1110,-,-,5/13/2021,14,2
1111,-,-,5/14/2021,35,5
1112,-,-,5/15/2021,30,1
1113,-,-,5/16/2021,101,6
1114,-,-,5/18/2021,14,1
1115,-,-,5/19/2021,112,16
1116,-,-,5/20/2021,22,2
1117,-,-,5/21/2021,45,4
1118,-,-,5/22/2021,28,5
1119,-,-,5/23/2021,12,1
1120,-,-,5/29/2021,4,1
1121,-,-,5/30/2021,30,1
1122,-,-,44201,30,7
1123,-,-,44232,3,1
1124,-,-,44413,0,0
1125,-,-,44444,0,0
1126,-,-,5/15/2021,54,2
1127,-,-,5/16/2021,0,0
1128,-,-,5/23/2021,55,5
1129,-,-,5/24/2021,11,2
1130,-,-,5/30/2021,8,2
1131,-,-,5/21/2021,61,6
1132,-,-,5/22/2021,33,3
1133,-,-,5/28/2021,6,1
1134,-,-,5/29/2021,22,16
1135,-,-,44232,62,35
1136,-,-,44260,14,2
1137,-,-,44413,35,5
1138,-,-,44444,30,1
1139,-,-,5/15/2021,101,6
1140,-,-,5/16/2021,14,1
1141,-,-,5/23/2021,112,16
1142,-,-,5/24/2021,22,2
1143,-,-,5/30/2021,45,4
1144,-,-,5/31/2021,28,5
1145,-,-,44352,12,1
1146,-,-,44382,4,1
1147,-,-,5/13/2021,30,1
1148,-,-,5/14/2021,30,7
1149,-,-,5/20/2021,3,1
1150,-,-,5/21/2021,0,0
1151,-,-,5/30/2021,0,0
1152,-,-,5/31/2021,54,2
1153,-,-,44201,0,0
1154,-,-,44444,55,5
1155,-,-,5/16/2021,11,2
1156,-,-,5/17/2021,8,2
1157,-,-,5/23/2021,61,6
1158,-,-,5/30/2021,33,3
1159,-,-,5/31/2021,6,1
1160,-,-,44260,22,16
1161,-,-,44291,62,35
1162,-,-,44321,14,2
1163,-,-,44474,35,5
1164,-,-,44505,30,1
1165,-,-,5/24/2021,101,6
1166,-,-,5/27/2021,14,1
1167,-,-,5/28/2021,112,16
1168,-,-,44291,22,2
1169,-,-,44382,45,4
1170,-,-,44413,28,5
1171,-,-,44535,12,1
1172,-,-,5/13/2021,4,1
1173,-,-,44260,30,1
1174,-,-,44291,30,7
1175,-,-,44535,3,1
1176,-,-,5/13/2021,0,0
1177,-,-,5/18/2021,0,0
